K_shot,Run_Index,Split_Seed,Row_Type,N_Train_Sentences,Train_Steps,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
5,0,42,run,8,250,16,16,2e-05,0.37084870848708484,0.2080745341614907,0.26657824933687,0.9484273728577677,0.4541984732824427,0.2463768115942029,0.3194630872483221,0.49809160305343514,0.2701863354037267,0.3503355704697987,0.6736641221374046,0.32919254658385094,0.44226700549612913
5,1,142,run,10,250,16,16,2e-05,0.2833333333333333,0.17598343685300208,0.21711366538952745,0.9456837249990059,0.37009345794392523,0.20496894409937888,0.2638241172551632,0.45794392523364486,0.2536231884057971,0.3264490339773485,0.5607476635514018,0.30124223602484473,0.3919323882959022
5,2,242,run,10,250,16,16,2e-05,0.4110429447852761,0.06935817805383022,0.11868910540301152,0.9441727305260647,0.46710526315789475,0.07349896480331262,0.12701252236135957,0.5263157894736842,0.08281573498964803,0.14311270125223613,0.6381578947368421,0.09937888198757763,0.17197628677489055
5,,,mean_over_runs,9,250,16,16,2e-05,0.3550749955352314,0.15113871635610768,0.20079367337646967,0.946094609460946,0.43046573146142086,0.17494824016563149,0.236766575621615,0.49411710592025476,0.20220841959972394,0.2732991018997944,0.6241898934752163,0.2432712215320911,0.3353918935223073
10,0,42,run,16,250,16,16,2e-05,0.36936936936936937,0.2971014492753623,0.3293172690763052,0.9500576563680464,0.4087968952134541,0.32712215320910976,0.3634272570442783,0.49029754204398446,0.39233954451345754,0.43588269120184014,0.6235446313065977,0.44306418219461696,0.5180348945830027
10,1,142,run,18,250,16,16,2e-05,0.41622574955908287,0.4886128364389234,0.44952380952380955,0.9603165135790688,0.4590780809031044,0.505175983436853,0.4810251355347462,0.5371589840075258,0.5910973084886129,0.5628388368654509,0.6603951081843838,0.6469979296066253,0.6536278768006424
10,2,242,run,16,250,16,16,2e-05,0.430365296803653,0.39026915113871635,0.4093376764386537,0.9594814903177065,0.45422116527942924,0.39544513457556935,0.4228002213613724,0.5089179548156956,0.44306418219461696,0.4737133370226895,0.6658739595719382,0.5269151138716356,0.5883002469482337
10,,,mean_over_runs,16,250,16,16,2e-05,0.40532013857736837,0.39199447895100065,0.3960595850129229,0.9566185534216073,0.4406987137986626,0.40924775707384403,0.42241753798013226,0.5121248269557354,0.47550034506556244,0.4908116216966601,0.6499378996876399,0.5389924085576259,0.5866543394439595
20,0,42,run,33,250,16,16,2e-05,0.472,0.5496894409937888,0.5078909612625537,0.9628613463756014,0.48501362397820164,0.5527950310559007,0.5166908563134978,0.5549500454132607,0.6325051759834368,0.5911949685534592,0.6412352406902816,0.6801242236024845,0.6601074605454998
20,1,142,run,37,250,16,16,2e-05,0.3982985305491106,0.5331262939958592,0.45595396193005755,0.9622649011889141,0.44802578565672846,0.5755693581780539,0.5038513819664704,0.5076551168412571,0.6521739130434783,0.5709107385591301,0.6946011281224819,0.7608695652173914,0.7262267262026552
20,2,242,run,34,250,16,16,2e-05,0.40552416823603266,0.6687370600414079,0.504884720593982,0.95554495208557,0.4296977660972405,0.6770186335403726,0.5257234726688103,0.5006570302233903,0.7888198757763976,0.6125401929260451,0.5486202365308804,0.7919254658385093,0.6481932478918688
20,,,mean_over_runs,34,250,16,16,2e-05,0.4252742329283811,0.5838509316770186,0.48957654792886446,0.9602237332166951,0.4542457252440569,0.6017943409247758,0.5154219036495927,0.5210873974926361,0.6911663216011042,0.5915486333462114,0.6281522017812146,0.7443064182194616,0.6781758115466746
50,0,42,run,78,250,16,16,2e-05,0.5361494719740049,0.6832298136645962,0.6008192990441511,0.966559306533063,0.5775635407537248,0.6821946169772257,0.6255339345040342,0.6739702015775635,0.7960662525879917,0.7299477930707166,0.635407537248028,0.7349896480331263,0.6815804456920408
50,1,142,run,92,250,16,16,2e-05,0.530596436870643,0.7091097308488613,0.6070004430660169,0.966559306533063,0.5692055692055692,0.7194616977225673,0.6355738454503886,0.6404586404586404,0.8095238095238095,0.7151348879743942,0.6404586404586404,0.7908902691511387,0.7077694378103794
50,2,242,run,86,250,16,16,2e-05,0.5281320330082521,0.7287784679089027,0.6124401913875598,0.966996699669967,0.5564325177584846,0.7298136645962733,0.6314375279892521,0.6424625098658248,0.8426501035196687,0.7290640394088669,0.6227308602999211,0.8012422360248447,0.7007973229777742
50,,,mean_over_runs,85,250,16,16,2e-05,0.5316259806176333,0.7070393374741201,0.6067533111659092,0.9667051042453644,0.5677338759059262,0.7104899930986887,0.630848435981225,0.6522971173006762,0.81608005521049,0.7247155734846592,0.6328656793355298,0.7757073844030365,0.6967157354933983
