method_id,family,legend_label,k_shot,metric_value,metric_value_percent,score_source,source_path,color,style
pat_perm_bart_ensemble_to_bert,Pat+OADA BART ensemble,Distilled -> BERT,5,0.5642836756688133,56.428367566881334,test,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF,solid
pat_perm_bart_ensemble_to_bert,Pat+OADA BART ensemble,Distilled -> BERT,10,0.6772058016962029,67.72058016962029,test,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF,solid
pat_perm_bart_ensemble_to_bert,Pat+OADA BART ensemble,Distilled -> BERT,20,0.7296617993534086,72.96617993534086,test,models/bert_conll_distilled_fixed_final600_report/k20_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF,solid
pat_perm_bart_ensemble_to_bert,Pat+OADA BART ensemble,Distilled -> BERT,50,0.7694106908622139,76.94106908622139,test,models/bert_conll_distilled_fixed_final600_report/k50_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF,solid
pat_perm_bart_ensemble_vote,Pat+OADA BART ensemble,Majority vote,5,0.46292199188355343,46.29219918835534,test,reports/ensemble_tagging/k5_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed242_pet_oada_verbalized_final2000_test_metrics.json,#7B61FF,thin
pat_perm_bart_ensemble_vote,Pat+OADA BART ensemble,Majority vote,10,0.5465215743105848,54.65215743105848,test,reports/ensemble_tagging/k10_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed242_pet_oada_verbalized_final2000_test_metrics.json,#7B61FF,thin
pat_perm_bart_ensemble_vote,Pat+OADA BART ensemble,Majority vote,20,0.6455701234701663,64.55701234701662,test,reports/ensemble_tagging/k20_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed242_pet_oada_verbalized_final2000_test_metrics.json,#7B61FF,thin
pat_perm_bart_ensemble_vote,Pat+OADA BART ensemble,Majority vote,50,0.7365578072160145,73.65578072160145,test,reports/ensemble_tagging/k50_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed242_pet_oada_verbalized_final2000_test_metrics.json,#7B61FF,thin
seed_perm_bart_ensemble_to_bert,OADA BART ensemble,Distilled -> BERT,5,0.5765784800308981,57.6578480030898,test,models/bert_conll_distilled_fixed_final600_report/k5_seed42/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#54A24B,solid
seed_perm_bart_ensemble_to_bert,OADA BART ensemble,Distilled -> BERT,10,0.6653135726998897,66.53135726998897,test,models/bert_conll_distilled_fixed_final600_report/k10_seed42/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#54A24B,solid
seed_perm_bart_ensemble_to_bert,OADA BART ensemble,Distilled -> BERT,20,0.7085727284656075,70.85727284656075,test,models/bert_conll_distilled_fixed_final600_report/k20_seed42/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed142/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed242/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#54A24B,solid
seed_perm_bart_ensemble_to_bert,OADA BART ensemble,Distilled -> BERT,50,0.7800865312595885,78.00865312595884,test,models/bert_conll_distilled_fixed_final600_report/k50_seed42/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed142/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed242/seed_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#54A24B,solid
seed_perm_bart_ensemble_vote,OADA BART ensemble,Majority vote,5,0.4685641920077052,46.856419200770524,test,reports/ensemble_tagging/k5_seed42_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed142_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed242_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json,#54A24B,thin
seed_perm_bart_ensemble_vote,OADA BART ensemble,Majority vote,10,0.5554057872615769,55.54057872615768,test,reports/ensemble_tagging/k10_seed42_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed142_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed242_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json,#54A24B,thin
seed_perm_bart_ensemble_vote,OADA BART ensemble,Majority vote,20,0.6508671533125995,65.08671533125995,test,reports/ensemble_tagging/k20_seed42_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed142_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k20_seed242_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json,#54A24B,thin
seed_perm_bart_ensemble_vote,OADA BART ensemble,Majority vote,50,0.7449585706544201,74.49585706544201,test,reports/ensemble_tagging/k50_seed42_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed142_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k50_seed242_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json,#54A24B,thin
pat_bart_ensemble_to_bert,Pat BART ensemble,Distilled -> BERT,5,0.5714200298742694,57.14200298742694,test,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,#F58518,solid
pat_bart_ensemble_to_bert,Pat BART ensemble,Distilled -> BERT,10,0.6765100733198136,67.65100733198136,test,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_bart_ensemble_to_bert/hard_argmax/training_summary.json,#F58518,solid
