k_shot,series,step,mini_val_strict_f1
k=5,XE fixed-2000,100,0.225
k=5,XE fixed-2000,200,0.308
k=5,XE fixed-2000,300,0.311
k=5,XE fixed-2000,400,0.3357
k=5,XE fixed-2000,500,0.2983
k=5,XE fixed-2000,600,0.3332
k=5,XE fixed-2000,700,0.3338
k=5,XE fixed-2000,800,0.3643
k=5,XE fixed-2000,900,0.3781
k=5,XE fixed-2000,1000,0.3952
k=5,XE fixed-2000,1100,0.3947
k=5,XE fixed-2000,1200,0.4008
k=5,XE fixed-2000,1300,0.4194
k=5,XE fixed-2000,1400,0.3788
k=5,XE fixed-2000,1500,0.3936
k=5,XE fixed-2000,1600,0.38
k=5,XE fixed-2000,1700,0.341
k=5,XE fixed-2000,1800,0.3517
k=5,XE fixed-2000,1900,0.35
k=5,XE fixed-2000,2000,0.3714
k=5,OADA-XE cap24 fixed-2000,100,0.1953
k=5,OADA-XE cap24 fixed-2000,200,0.24
k=5,OADA-XE cap24 fixed-2000,300,0.3029
k=5,OADA-XE cap24 fixed-2000,400,0.2734
k=5,OADA-XE cap24 fixed-2000,500,0.3168
k=5,OADA-XE cap24 fixed-2000,600,0.2994
k=5,OADA-XE cap24 fixed-2000,700,0.3045
k=5,OADA-XE cap24 fixed-2000,800,0.3128
k=5,OADA-XE cap24 fixed-2000,900,0.3083
k=5,OADA-XE cap24 fixed-2000,1000,0.3365
k=5,OADA-XE cap24 fixed-2000,1100,0.3366
k=5,OADA-XE cap24 fixed-2000,1200,0.3493
k=5,OADA-XE cap24 fixed-2000,1300,0.3733
k=5,OADA-XE cap24 fixed-2000,1400,0.3714
k=5,OADA-XE cap24 fixed-2000,1500,0.3796
k=5,OADA-XE cap24 fixed-2000,1600,0.3865
k=5,OADA-XE cap24 fixed-2000,1700,0.3829
k=5,OADA-XE cap24 fixed-2000,1800,0.3895
k=5,OADA-XE cap24 fixed-2000,1900,0.388
k=5,OADA-XE cap24 fixed-2000,2000,0.3765
k=10,XE fixed-2000,100,0.2254
k=10,XE fixed-2000,200,0.3809
k=10,XE fixed-2000,300,0.4814
k=10,XE fixed-2000,400,0.503
k=10,XE fixed-2000,500,0.4476
k=10,XE fixed-2000,600,0.4719
k=10,XE fixed-2000,700,0.4763
k=10,XE fixed-2000,800,0.4923
k=10,XE fixed-2000,900,0.5065
k=10,XE fixed-2000,1000,0.4861
k=10,XE fixed-2000,1100,0.4672
k=10,XE fixed-2000,1200,0.4651
k=10,XE fixed-2000,1300,0.4668
k=10,XE fixed-2000,1400,0.4949
k=10,XE fixed-2000,1500,0.4877
k=10,XE fixed-2000,1600,0.4447
k=10,XE fixed-2000,1700,0.4633
k=10,XE fixed-2000,1800,0.426
k=10,XE fixed-2000,1900,0.4712
k=10,XE fixed-2000,2000,0.4736
k=10,OADA-XE cap24 fixed-2000,100,0.1958
k=10,OADA-XE cap24 fixed-2000,200,0.3906
k=10,OADA-XE cap24 fixed-2000,300,0.4276
k=10,OADA-XE cap24 fixed-2000,400,0.4471
k=10,OADA-XE cap24 fixed-2000,500,0.4461
k=10,OADA-XE cap24 fixed-2000,600,0.482
k=10,OADA-XE cap24 fixed-2000,700,0.4647
k=10,OADA-XE cap24 fixed-2000,800,0.4707
k=10,OADA-XE cap24 fixed-2000,900,0.4469
k=10,OADA-XE cap24 fixed-2000,1000,0.47
k=10,OADA-XE cap24 fixed-2000,1100,0.476
