split,k,seed,n_train,max_steps,train_steps,best_step,early_stopped,steps_per_epoch,epochs_at_best,epochs_at_stop,budget_used_pct,stop_after_best_steps,test_f1_early_stop,test_f1_fixed600,test_f1_delta_fixed_minus_early
k5_seed42,5,42,10,1000,255,180,1,1,180.00,255.00,25.5,75,0.342632,,
k5_seed142,5,142,10,1000,615,540,1,1,540.00,615.00,61.5,75,0.370349,,
k5_seed242,5,242,9,1000,570,495,1,1,495.00,570.00,57.0,75,0.379640,,
k10_seed42,10,42,17,1000,540,465,1,2,232.50,270.00,54.0,75,0.517251,0.520408,0.003157
k10_seed142,10,142,22,1000,525,450,1,2,225.00,262.50,52.5,75,0.513160,0.515018,0.001858
k10_seed242,10,242,21,1000,330,255,1,2,127.50,165.00,33.0,75,0.479071,0.498602,0.019530
k20_seed42,20,42,37,1000,225,150,1,3,50.00,75.00,22.5,75,0.662267,0.676245,0.013979
k20_seed142,20,142,40,1000,270,195,1,3,65.00,90.00,27.0,75,0.553927,0.585795,0.031868
k20_seed242,20,242,39,1000,270,195,1,3,65.00,90.00,27.0,75,0.617909,0.638316,0.020408
k50_seed42,50,42,86,1000,225,150,1,6,25.00,37.50,22.5,75,0.734807,,
k50_seed142,50,142,95,1000,345,270,1,6,45.00,57.50,34.5,75,0.760554,0.770194,0.009640
k50_seed242,50,242,95,1000,285,210,1,6,35.00,47.50,28.5,75,0.725651,0.725439,-0.000212
