split,diagnostic_subset,n_rows,token_accuracy,span_strict_precision,span_strict_recall,span_strict_f1,exact_sequence_accuracy
k5_seed42,selected_by_both_canonical_predictions,584,0.9519610118,0.8459259259,0.8691019787,0.8573573574,0.8133561644
k5_seed42,selected_by_both_diverse_predictions,584,0.9519610118,0.8459259259,0.8691019787,0.8573573574,0.8133561644
k5_seed42,selected_by_both_exact_prediction_agreement,584,0.9519610118,0.8459259259,0.8691019787,0.8573573574,0.8133561644
k5_seed42,selected_by_both_span_prediction_agreement,584,0.9519610118,0.8459259259,0.8691019787,0.8573573574,0.8133561644
k5_seed142,selected_by_both_canonical_predictions,583,0.9730072464,0.9084194978,0.8625525947,0.8848920863,0.8576329331
k5_seed142,selected_by_both_diverse_predictions,583,0.9730072464,0.9084194978,0.8625525947,0.8848920863,0.8576329331
k5_seed142,selected_by_both_exact_prediction_agreement,583,0.9730072464,0.9084194978,0.8625525947,0.8848920863,0.8576329331
k5_seed142,selected_by_both_span_prediction_agreement,583,0.9730072464,0.9084194978,0.8625525947,0.8848920863,0.8576329331
k5_seed242,selected_by_both_canonical_predictions,543,0.9673362118,0.9509632224,0.8068350669,0.8729903537,0.8379373849
k5_seed242,selected_by_both_diverse_predictions,543,0.9673362118,0.9509632224,0.8068350669,0.8729903537,0.8379373849
k5_seed242,selected_by_both_exact_prediction_agreement,543,0.9673362118,0.9509632224,0.8068350669,0.8729903537,0.8379373849
k5_seed242,selected_by_both_span_prediction_agreement,543,0.9673362118,0.9509632224,0.8068350669,0.8729903537,0.8379373849
