figure_id,k_shot,n_runs,mean_best_step,median_best_step,early_stopped,best_step,best_step_count,source
bert_fixed600_step_decision,5,15,580,600,7,300,4,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,400,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,500,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,600,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,700,3,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,800,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,5,15,580,600,7,900,3,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,300,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,400,4,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,500,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,700,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,800,3,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,10,12,608,600,6,900,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,20,12,592,600,5,200,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,20,12,592,600,5,400,3,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,20,12,592,600,5,500,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,20,12,592,600,5,600,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,20,12,592,600,5,800,5,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,300,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,400,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,500,3,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,700,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,800,1,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,900,2,distillation-step-diagnostics.canvas.tsx
bert_fixed600_step_decision,50,12,633,600,6,1000,1,distillation-step-diagnostics.canvas.tsx
