dataset,config,label_level,tagging_scheme,split_name,k,seed,entity_type,mention_count,target_k,meets_k,train_sentences,total_entity_mentions,share_of_mentions
conll2003,standard,coarse,BIO,k10_seed142,10,142,LOC,10,10,True,22,43,0.23255813953488372
conll2003,standard,coarse,BIO,k10_seed142,10,142,MISC,11,10,True,22,43,0.2558139534883721
conll2003,standard,coarse,BIO,k10_seed142,10,142,ORG,12,10,True,22,43,0.27906976744186046
conll2003,standard,coarse,BIO,k10_seed142,10,142,PER,10,10,True,22,43,0.23255813953488372
conll2003,standard,coarse,BIO,k10_seed242,10,242,LOC,11,10,True,21,47,0.23404255319148937
conll2003,standard,coarse,BIO,k10_seed242,10,242,MISC,12,10,True,21,47,0.2553191489361702
conll2003,standard,coarse,BIO,k10_seed242,10,242,ORG,12,10,True,21,47,0.2553191489361702
conll2003,standard,coarse,BIO,k10_seed242,10,242,PER,12,10,True,21,47,0.2553191489361702
conll2003,standard,coarse,BIO,k10_seed42,10,42,LOC,10,10,True,17,44,0.22727272727272727
conll2003,standard,coarse,BIO,k10_seed42,10,42,MISC,12,10,True,17,44,0.2727272727272727
conll2003,standard,coarse,BIO,k10_seed42,10,42,ORG,11,10,True,17,44,0.25
conll2003,standard,coarse,BIO,k10_seed42,10,42,PER,11,10,True,17,44,0.25
conll2003,standard,coarse,BIO,k20_seed142,20,142,LOC,20,20,True,40,99,0.20202020202020202
conll2003,standard,coarse,BIO,k20_seed142,20,142,MISC,29,20,True,40,99,0.29292929292929293
conll2003,standard,coarse,BIO,k20_seed142,20,142,ORG,30,20,True,40,99,0.30303030303030304
conll2003,standard,coarse,BIO,k20_seed142,20,142,PER,20,20,True,40,99,0.20202020202020202
conll2003,standard,coarse,BIO,k20_seed242,20,242,LOC,20,20,True,39,93,0.21505376344086022
conll2003,standard,coarse,BIO,k20_seed242,20,242,MISC,25,20,True,39,93,0.26881720430107525
conll2003,standard,coarse,BIO,k20_seed242,20,242,ORG,23,20,True,39,93,0.24731182795698925
conll2003,standard,coarse,BIO,k20_seed242,20,242,PER,25,20,True,39,93,0.26881720430107525
conll2003,standard,coarse,BIO,k20_seed42,20,42,LOC,20,20,True,37,94,0.2127659574468085
conll2003,standard,coarse,BIO,k20_seed42,20,42,MISC,26,20,True,37,94,0.2765957446808511
conll2003,standard,coarse,BIO,k20_seed42,20,42,ORG,26,20,True,37,94,0.2765957446808511
conll2003,standard,coarse,BIO,k20_seed42,20,42,PER,22,20,True,37,94,0.23404255319148937
conll2003,standard,coarse,BIO,k50_seed142,50,142,LOC,50,50,True,95,221,0.22624434389140272
conll2003,standard,coarse,BIO,k50_seed142,50,142,MISC,58,50,True,95,221,0.26244343891402716
conll2003,standard,coarse,BIO,k50_seed142,50,142,ORG,59,50,True,95,221,0.2669683257918552
conll2003,standard,coarse,BIO,k50_seed142,50,142,PER,54,50,True,95,221,0.24434389140271492
conll2003,standard,coarse,BIO,k50_seed242,50,242,LOC,50,50,True,95,241,0.2074688796680498
conll2003,standard,coarse,BIO,k50_seed242,50,242,MISC,67,50,True,95,241,0.27800829875518673
conll2003,standard,coarse,BIO,k50_seed242,50,242,ORG,61,50,True,95,241,0.25311203319502074
conll2003,standard,coarse,BIO,k50_seed242,50,242,PER,63,50,True,95,241,0.26141078838174275
conll2003,standard,coarse,BIO,k50_seed42,50,42,LOC,51,50,True,86,223,0.22869955156950672
conll2003,standard,coarse,BIO,k50_seed42,50,42,MISC,60,50,True,86,223,0.26905829596412556
conll2003,standard,coarse,BIO,k50_seed42,50,42,ORG,59,50,True,86,223,0.2645739910313901
conll2003,standard,coarse,BIO,k50_seed42,50,42,PER,53,50,True,86,223,0.23766816143497757
conll2003,standard,coarse,BIO,k5_seed142,5,142,LOC,7,5,True,10,29,0.2413793103448276
conll2003,standard,coarse,BIO,k5_seed142,5,142,MISC,8,5,True,10,29,0.27586206896551724
conll2003,standard,coarse,BIO,k5_seed142,5,142,ORG,9,5,True,10,29,0.3103448275862069
conll2003,standard,coarse,BIO,k5_seed142,5,142,PER,5,5,True,10,29,0.1724137931034483
conll2003,standard,coarse,BIO,k5_seed242,5,242,LOC,5,5,True,9,21,0.23809523809523808
conll2003,standard,coarse,BIO,k5_seed242,5,242,MISC,5,5,True,9,21,0.23809523809523808
conll2003,standard,coarse,BIO,k5_seed242,5,242,ORG,5,5,True,9,21,0.23809523809523808
conll2003,standard,coarse,BIO,k5_seed242,5,242,PER,6,5,True,9,21,0.2857142857142857
conll2003,standard,coarse,BIO,k5_seed42,5,42,LOC,5,5,True,10,28,0.17857142857142858
conll2003,standard,coarse,BIO,k5_seed42,5,42,MISC,6,5,True,10,28,0.21428571428571427
conll2003,standard,coarse,BIO,k5_seed42,5,42,ORG,8,5,True,10,28,0.2857142857142857
conll2003,standard,coarse,BIO,k5_seed42,5,42,PER,9,5,True,10,28,0.32142857142857145
