dataset,config,label_level,tagging_scheme,split_name,k,seed,entity_type,mention_count,target_k,meets_k,train_sentences,total_entity_mentions,share_of_mentions
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-broadcastprogram,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-film,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-music,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-other,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-painting,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,art-writtenart,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-airport,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-hospital,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-hotel,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-library,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-other,19,10,True,295,1002,0.018962075848303395
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-restaurant,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-sportsfacility,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,building-theater,18,10,True,295,1002,0.017964071856287425
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-attack/battle/war/militaryconflict,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-disaster,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-election,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-other,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-protest,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,event-sportsevent,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-GPE,153,10,True,295,1002,0.15269461077844312
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-bodiesofwater,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-island,14,10,True,295,1002,0.013972055888223553
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-mountain,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-other,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-park,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,location-road/railway/highway/transit,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-company,29,10,True,295,1002,0.028942115768463075
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-education,23,10,True,295,1002,0.022954091816367265
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-government/governmentagency,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-media/newspaper,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-other,24,10,True,295,1002,0.023952095808383235
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-politicalparty,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-religion,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-showorganization,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-sportsleague,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,organization-sportsteam,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-astronomything,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-award,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-biologything,14,10,True,295,1002,0.013972055888223553
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-chemicalthing,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-currency,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-disease,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-educationaldegree,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-god,14,10,True,295,1002,0.013972055888223553
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-language,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-law,12,10,True,295,1002,0.011976047904191617
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-livingthing,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,other-medical,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-actor,15,10,True,295,1002,0.014970059880239521
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-artist/author,26,10,True,295,1002,0.02594810379241517
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-athlete,12,10,True,295,1002,0.011976047904191617
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-director,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-other,40,10,True,295,1002,0.03992015968063872
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-politician,18,10,True,295,1002,0.017964071856287425
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-scholar,15,10,True,295,1002,0.014970059880239521
fewnerd,supervised,fine,BIO,k10_seed142,10,142,person-soldier,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-airplane,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-car,16,10,True,295,1002,0.015968063872255488
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-food,14,10,True,295,1002,0.013972055888223553
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-game,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-other,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-ship,13,10,True,295,1002,0.012974051896207584
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-software,10,10,True,295,1002,0.00998003992015968
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-train,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed142,10,142,product-weapon,11,10,True,295,1002,0.010978043912175649
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-broadcastprogram,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-film,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-music,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-other,15,10,True,308,1027,0.014605647517039922
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-painting,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,art-writtenart,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-airport,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-hospital,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-hotel,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-library,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-other,26,10,True,308,1027,0.02531645569620253
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-restaurant,13,10,True,308,1027,0.012658227848101266
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-sportsfacility,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,building-theater,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-attack/battle/war/militaryconflict,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-disaster,13,10,True,308,1027,0.012658227848101266
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-election,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-other,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-protest,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,event-sportsevent,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-GPE,161,10,True,308,1027,0.15676728334956183
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-bodiesofwater,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-island,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-mountain,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-other,15,10,True,308,1027,0.014605647517039922
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-park,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,location-road/railway/highway/transit,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-company,22,10,True,308,1027,0.021421616358325218
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-education,19,10,True,308,1027,0.018500486854917234
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-government/governmentagency,14,10,True,308,1027,0.013631937682570594
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-media/newspaper,14,10,True,308,1027,0.013631937682570594
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-other,19,10,True,308,1027,0.018500486854917234
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-politicalparty,12,10,True,308,1027,0.011684518013631937
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-religion,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-showorganization,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-sportsleague,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,organization-sportsteam,17,10,True,308,1027,0.016553067185978577
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-astronomything,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-award,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-biologything,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-chemicalthing,20,10,True,308,1027,0.019474196689386564
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-currency,11,10,True,308,1027,0.010710808179162609
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-disease,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-educationaldegree,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-god,10,10,True,308,1027,0.009737098344693282
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-language,14,10,True,308,1027,0.013631937682570594
fewnerd,supervised,fine,BIO,k10_seed242,10,242,other-law,10,10,True,308,1027,0.009737098344693282
