Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k10_seed142,10,142,0,mini_eval,22,100,1000,240,165,1,16,16,2e-05,0.5,0.46835443037974683,0.4836601307189542,0.9278091650973007,0.5401459854014599,0.46835443037974683,0.5016949152542373,0.781021897810219,0.6772151898734177,0.7254237288135593,0.6642335766423357,0.5379746835443038,0.594474119048534
k10_seed142,10,142,0,validation,22,3128,1000,240,165,1,16,16,2e-05,0.5302351623740201,0.49331481159923596,0.5111091121705496,0.9159435462763494,0.5498679666869795,0.47004688313943394,0.5068339262310428,0.7755433678651229,0.6629623198471957,0.7148474068526494,0.6510257972780825,0.5348150720611218,0.5872261914517167
k10_seed142,10,142,0,test,22,3453,1000,240,165,1,16,16,2e-05,0.4920260964117434,0.4810418143160879,0.4864719584303888,0.9109593467910464,0.5125469274846868,0.45960311835577605,0.4846333489023821,0.7362181387077653,0.6601700921332389,0.6961233068659506,0.6316933412369097,0.5418143160878809,0.5833119085729451
k10_seed242,10,242,1,mini_eval,21,100,1000,405,330,1,16,16,2e-05,0.47101449275362317,0.41139240506329117,0.43918918918918914,0.911487758945386,0.49242424242424243,0.41139240506329117,0.4482758620689655,0.7272727272727273,0.6075949367088608,0.6620689655172415,0.6060606060606061,0.4873417721518987,0.5402560954218558
k10_seed242,10,242,1,validation,21,3128,1000,405,330,1,16,16,2e-05,0.4897597479322568,0.4318458065636395,0.4589831134077697,0.9060379713704725,0.5189741451209341,0.43219308907796494,0.4716248223590715,0.7160133444537115,0.5962840770967182,0.6506868782567502,0.6703502919099249,0.5216183365167564,0.5867050454358251
k10_seed242,10,242,1,test,21,3453,1000,405,330,1,16,16,2e-05,0.4970171513795675,0.4723600283486889,0.48437499999999994,0.9079001227998362,0.5125628140703518,0.46987951807228917,0.490293954520244,0.6880556629300348,0.6307583274273565,0.6581623220558329,0.666988790104368,0.5683912119064494,0.6137553888169843
k10_seed42,10,42,2,mini_eval,17,100,1000,285,210,1,16,16,2e-05,0.6036036036036037,0.4240506329113924,0.4981412639405204,0.9183929692404269,0.6226415094339622,0.4177215189873418,0.4999999999999999,0.7830188679245284,0.5253164556962026,0.6287878787878788,0.7547169811320755,0.4873417721518987,0.5922507451206616
k10_seed42,10,42,2,validation,17,3128,1000,285,210,1,16,16,2e-05,0.5683514608658563,0.46275395033860045,0.510145482388974,0.9114336910346493,0.5946070523162019,0.4479944434797708,0.5109922756981581,0.7877391103941,0.5935058169821149,0.6769657357892651,0.6992394560958747,0.5079006772009029,0.5884059082797025
k10_seed42,10,42,2,test,17,3453,1000,285,210,1,16,16,2e-05,0.5132687447346251,0.4317859673990078,0.4690146266358738,0.9028157787017688,0.5295692925686231,0.42044649184975197,0.46874074074074074,0.7344342780629324,0.5830970942593905,0.650074074074074,0.6462843115376032,0.4907866761162296,0.5579031257143814
k20_seed142,20,142,3,mini_eval,40,100,1000,405,330,1,16,16,2e-05,0.5813953488372093,0.6329113924050633,0.6060606060606061,0.9497802887633396,0.6058823529411764,0.6518987341772152,0.6280487804878049,0.7823529411764706,0.8417721518987342,0.8109756097560976,0.7294117647058823,0.7341772151898734,0.7317867317867318
k20_seed142,20,142,3,validation,40,3128,1000,405,330,1,16,16,2e-05,0.5544978581627796,0.606876193783643,0.5795058862543525,0.9355936298294711,0.5763797634691196,0.6093071713839208,0.5923862581244197,0.7532851511169514,0.7963188053481507,0.7742044399426015,0.7145203679369251,0.7034207327661052,0.7089271064098507
k20_seed142,20,142,3,test,40,3453,1000,405,330,1,16,16,2e-05,0.53026941362916,0.5928419560595323,0.5598126150242596,0.9298963741732554,0.5531111475948121,0.5969170800850461,0.5741798040051129,0.7248399277622722,0.7822466335931963,0.7524499360886239,0.6918404202922345,0.6973777462792345,0.6945980475896054
k20_seed242,20,242,4,mini_eval,39,100,1000,225,150,1,16,16,2e-05,0.6204819277108434,0.6518987341772152,0.6358024691358025,0.9466415568110483,0.6296296296296297,0.6455696202531646,0.6375,0.7654320987654321,0.7848101265822784,0.7749999999999999,0.7407407407407407,0.7341772151898734,0.7374443738080101
k20_seed242,20,242,4,validation,39,3128,1000,225,150,1,16,16,2e-05,0.6321025122239082,0.6509810731029693,0.6414029084687767,0.9419960136100989,0.645580589254766,0.6468136829310644,0.6461965478358921,0.7904679376083189,0.7919777739190832,0.7912221354844305,0.7663778162911612,0.7235631185969786,0.7443553093878945
k20_seed242,20,242,4,test,39,3453,1000,225,150,1,16,16,2e-05,0.5931080185553347,0.6343019135364989,0.6130136986301369,0.9376952409677489,0.6065043419036268,0.6311126860382708,0.6185638621168708,0.7577047505533798,0.7884479092841956,0.7727706868108015,0.7425506555423123,0.7207654145995748,0.731495870268473
k20_seed42,20,42,5,mini_eval,37,100,1000,270,195,1,16,16,2e-05,0.6228571428571429,0.689873417721519,0.6546546546546547,0.9472693032015066,0.6242774566473989,0.6835443037974683,0.6525679758308157,0.7687861271676301,0.8417721518987342,0.8036253776435045,0.7283236994219653,0.7658227848101266,0.7466026786807374
k20_seed42,20,42,5,validation,37,3128,1000,270,195,1,16,16,2e-05,0.6614276358873609,0.7015106789373156,0.6808797505688043,0.9447542732891744,0.6805391743892165,0.7013370376801528,0.6907815974003763,0.804212299915754,0.8287897204375759,0.8163160595177015,0.7636057287278855,0.7631533252300746,0.763379459951729
k20_seed42,20,42,5,test,37,3453,1000,270,195,1,16,16,2e-05,0.6246913580246913,0.6723954642097802,0.6476661831214268,0.9383846435573173,0.6432569974554707,0.671863926293409,0.6572493283646763,0.7867684478371502,0.8217576187101346,0.8038824854840106,0.7312977099236642,0.7379518072289156,0.7346096906758309
k50_seed142,50,142,6,mini_eval,95,100,1000,225,150,1,16,16,2e-05,0.6878612716763006,0.7531645569620253,0.7190332326283989,0.9648462021343377,0.7393939393939394,0.7721518987341772,0.7554179566563468,0.8848484848484849,0.9240506329113924,0.9040247678018577,0.793939393939394,0.8164556962025317,0.8050401352928568
