Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k10_seed142,10,142,0,mini_eval,22,200,1000,525,450,1,16,16,2e-05,0.5372670807453416,0.5226586102719033,0.5298621745788666,0.9288874841972187,0.5596026490066225,0.5105740181268882,0.5339652448657188,0.7913907284768212,0.7220543806646526,0.7551342812006319,0.6721854304635762,0.5770392749244713,0.6209889889889889
k10_seed142,10,142,0,validation,22,2992,1000,525,450,1,16,16,2e-05,0.5446124763705104,0.5189121037463977,0.5314517616675891,0.920553540911175,0.560064935064935,0.49711815561959655,0.5267175572519083,0.7822646103896104,0.6943443804034583,0.7356870229007634,0.6607142857142857,0.5610590778097982,0.6068224417159825
k10_seed142,10,142,0,test,22,3453,1000,525,450,1,16,16,2e-05,0.517921146953405,0.5120481927710844,0.514967925873129,0.9164961113385182,0.5338950593642283,0.4939759036144578,0.5131603165838395,0.7462657985446189,0.6904677533664068,0.7172832689122033,0.6553044810417464,0.5744153082919915,0.6121995088111267
k10_seed242,10,242,1,mini_eval,21,200,1000,330,255,1,16,16,2e-05,0.4717607973421927,0.42900302114803623,0.44936708860759494,0.9105562579013906,0.4965277777777778,0.43202416918429004,0.46203554119547663,0.7326388888888888,0.6374622356495468,0.6817447495961229,0.6215277777777778,0.5045317220543807,0.5569518841119755
k10_seed242,10,242,1,validation,21,2992,1000,330,255,1,16,16,2e-05,0.4785031847133758,0.4329971181556196,0.45461422087745834,0.9059230544787629,0.504298595093311,0.4331772334293948,0.46604011239221,0.6978402180750681,0.5994236311239193,0.6448987501211123,0.6682742713357098,0.5313400576368876,0.5919917448016347
k10_seed242,10,242,1,test,21,3453,1000,330,255,1,16,16,2e-05,0.4799196787148594,0.4658043940467753,0.47275669843553314,0.9069521942391796,0.49471498678746695,0.4643869596031184,0.4790714677389874,0.6730841827104568,0.6318214032600992,0.6518004021202706,0.6591166477916195,0.5696314670446492,0.6111156200392152
k10_seed42,10,42,2,mini_eval,17,200,1000,540,465,1,16,16,2e-05,0.6026490066225165,0.5498489425981873,0.5750394944707741,0.9285714285714286,0.627177700348432,0.5438066465256798,0.5825242718446602,0.8048780487804879,0.6978851963746223,0.7475728155339805,0.7247386759581882,0.6072507552870091,0.6608132137353302
k10_seed42,10,42,2,validation,17,2992,1000,540,465,1,16,16,2e-05,0.6043049688191511,0.5410662824207493,0.5709398460515063,0.9235546663332083,0.6241525423728813,0.5306195965417867,0.5735981308411213,0.8063559322033899,0.6855187319884726,0.741043613707165,0.7201271186440678,0.5925792507204611,0.6501566509442079
k10_seed42,10,42,2,test,17,3453,1000,540,465,1,16,16,2e-05,0.5376178564556475,0.49503897944720054,0.5154506041878055,0.9125320464484995,0.5509713599038654,0.4874202693125443,0.5172511046347653,0.759062687762868,0.6715095676824947,0.7126069380464417,0.6497095934308031,0.5520907158043941,0.5969355004251296
k20_seed142,20,142,3,mini_eval,40,200,1000,270,195,1,16,16,2e-05,0.5506849315068493,0.6072507552870091,0.5775862068965517,0.9399494310998736,0.5734463276836158,0.6132930513595166,0.5927007299270073,0.748587570621469,0.8006042296072508,0.7737226277372262,0.7146892655367232,0.6978851963746223,0.7061872798564499
