Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k10_seed142,10,142,0,mini_eval,22,200,600,600,600,0,16,16,2e-05,0.5173410404624278,0.540785498489426,0.5288035450516986,0.9304677623261695,0.5379939209726444,0.5347432024169184,0.5363636363636364,0.7811550151975684,0.7764350453172205,0.7787878787878787,0.6474164133738601,0.5981873111782477,0.6218290390357182
k10_seed142,10,142,0,validation,22,2992,600,600,600,0,16,16,2e-05,0.5402257007644703,0.5345821325648416,0.5373891001267427,0.9221791505147764,0.5530509133307423,0.5126080691642652,0.532062067676201,0.7800233190827828,0.7229827089337176,0.7504206393718453,0.6515740380878352,0.5770893371757925,0.6120739615606814
k10_seed142,10,142,0,test,22,3453,600,600,600,0,16,16,2e-05,0.5085470085470085,0.5271084337349398,0.5176613885505481,0.917594846715643,0.5213287347976039,0.5088589652728561,0.515018380704743,0.7382465057179162,0.7205882352941176,0.7293104994171972,0.6422218188418951,0.5931963146704465,0.6167363191519116
k10_seed242,10,242,1,mini_eval,21,200,600,600,585,0,16,16,2e-05,0.47540983606557374,0.4380664652567976,0.45597484276729555,0.9121365360303414,0.5,0.44108761329305135,0.46869983948635635,0.7397260273972602,0.6525679758308157,0.6934189406099518,0.6164383561643836,0.5105740181268882,0.5585340775558166
k10_seed242,10,242,1,validation,21,2992,600,600,585,0,16,16,2e-05,0.487776708373436,0.4564121037463977,0.4715734623615893,0.9104039014630486,0.5172834485563237,0.45821325648414984,0.4859598853868195,0.7124847498983327,0.6311239193083573,0.6693409742120344,0.6689711264741764,0.5515129682997119,0.6045900200558164
k10_seed242,10,242,1,test,21,3453,600,600,585,0,16,16,2e-05,0.490150842945874,0.4893692416725726,0.4897597304725596,0.9116487493806149,0.5078081940106559,0.4897236002834869,0.4986019662667989,0.6873047951497336,0.6628277817150957,0.6748444123748535,0.6613999632555576,0.5894755492558469,0.6233699560319951
k10_seed42,10,42,2,mini_eval,17,200,600,600,465,0,16,16,2e-05,0.6013513513513513,0.5377643504531722,0.5677830940988836,0.927307206068268,0.6285714285714286,0.5317220543806647,0.5761047463175123,0.8071428571428572,0.6827794561933535,0.7397708674304417,0.7285714285714285,0.595166163141994,0.6551465553780443
k10_seed42,10,42,2,validation,17,2992,600,600,465,0,16,16,2e-05,0.6124314442413162,0.5430475504322767,0.575656324582339,0.923846442415906,0.632061394159028,0.5340417867435159,0.5789319535292395,0.8143253037731827,0.6880403458213257,0.7458752318656644,0.7241526327009167,0.593299711815562,0.6522278397092494
k10_seed42,10,42,2,test,17,3453,600,600,465,0,16,16,2e-05,0.5440575763470142,0.49557051736357194,0.5186833565136764,0.9126397656031195,0.5574898785425101,0.4879518072289157,0.5204081632653061,0.7657894736842106,0.6702693125442948,0.7148526077097506,0.652834008097166,0.5496102055279943,0.5967914840460088
k20_seed142,20,142,3,mini_eval,40,200,600,600,495,0,16,16,2e-05,0.5519125683060109,0.6102719033232629,0.5796269727403156,0.9412136536030341,0.5682451253481894,0.6163141993957704,0.5913043478260869,0.7604456824512534,0.824773413897281,0.7913043478260869,0.6908077994428969,0.6978851963746223,0.6943284631280413
k20_seed142,20,142,3,validation,40,2992,600,600,495,0,16,16,2e-05,0.5661824710298679,0.6248198847262247,0.5940577104204127,0.9386853403359593,0.5859690444145357,0.6273414985590778,0.6059498956158664,0.7661507402422612,0.8202449567723343,0.792275574112735,0.7141655450874832,0.7161383285302594,0.7151505763026936
