Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k10_seed142,10,142,0,mini_val,295,500,1000,825,750,1,16,16,2e-05,0.311284046692607,0.4433887569279493,0.36577400391900716,0.8634158375133624,0.4173611111111111,0.4758511480601742,0.4446910839807621,0.7340277777777777,0.8368962787015044,0.782093969663337,0.4861111111111111,0.5447347585114806,0.5137559872414418
k10_seed142,10,142,0,validation,295,18208,1000,825,750,1,16,16,2e-05,0.3136866909354561,0.44044538706256625,0.3664128871754608,0.8618561764640218,0.4216319648371635,0.47200424178154826,0.44539841693934934,0.7510183202925185,0.8407423117709438,0.7933515455355089,0.4858192978799992,0.5332131495227995,0.5084141110163398
k10_seed142,10,142,0,test,295,37648,1000,825,750,1,16,16,2e-05,0.3120282238800485,0.4389404137845467,0.3647603663670888,0.8617706051497247,0.4196349557522124,0.47067216725084526,0.44369069723241567,0.7507282448377581,0.8420339754128023,0.7937640413846206,0.4821810471976401,0.5295863188477724,0.504773121516356
k10_seed242,10,242,1,mini_val,308,500,1000,750,675,1,16,16,2e-05,0.33557046979865773,0.4750593824228028,0.39331366764995085,0.8657182797467313,0.4490934449093445,0.5098970704671417,0.47756766777901377,0.7364016736401674,0.836104513064133,0.7830923248053393,0.5153417015341701,0.5787806809184481,0.5452220440843334
k10_seed242,10,242,1,validation,308,18208,1000,750,675,1,16,16,2e-05,0.3463973001135321,0.47238600212089077,0.39969851681037966,0.8683016677457525,0.4481330953014016,0.5004453870625662,0.4728467796881889,0.7524024765449918,0.8402332979851538,0.7938960362310127,0.5166748964940935,0.5645811240721103,0.5395667414452392
k10_seed242,10,242,1,test,308,37648,1000,750,675,1,16,16,2e-05,0.34238394053395305,0.4676737285068809,0.395339690419795,0.8670779633746624,0.44189609502625776,0.4950422366285141,0.46696185618288744,0.7505837617329186,0.840855278803106,0.7931592755503106,0.5079973050051223,0.557502817498475,0.5315999929808205
k10_seed42,10,42,2,mini_val,314,500,1000,750,675,1,16,16,2e-05,0.3425287356321839,0.4718923198733175,0.39693639693639693,0.8684318723789162,0.43719639139486466,0.498812351543943,0.46597633136094674,0.7307425399028452,0.833729216152019,0.7788461538461539,0.508674531575295,0.5684877276326208,0.5369204613100172
k10_seed42,10,42,2,validation,314,18208,1000,750,675,1,16,16,2e-05,0.34363742193276386,0.46328738069989395,0.39459161646359636,0.8685472527963207,0.4416515013648772,0.49412513255567336,0.4664170887469721,0.7502653927813163,0.839406150583245,0.7923364897599647,0.5156960873521383,0.5619300106044539,0.5378212505876696
k10_seed42,10,42,2,test,314,37648,1000,750,675,1,16,16,2e-05,0.3417880789621071,0.4606118882926476,0.39240194135419143,0.8682477129547592,0.4392220271643722,0.4915061467994251,0.4638955437259389,0.7511503280051741,0.8405657743726542,0.7933465725285073,0.5093227386122148,0.5562931025569445,0.5317727374520355
k20_seed142,20,142,3,mini_val,579,500,1000,735,660,1,16,16,2e-05,0.43162393162393164,0.5597783056215361,0.4874181316787315,0.8848778883315517,0.5151301900070373,0.5795724465558195,0.5454545454545454,0.7607318789584799,0.8558986539984165,0.8055141579731744,0.5791695988740324,0.6373713380839272,0.6068782249694736
k20_seed142,20,142,3,validation,579,18208,1000,735,660,1,16,16,2e-05,0.42687495818558907,0.5412937433722164,0.47732330883315566,0.8828737916099216,0.5060208517677837,0.5579215270413573,0.5307052937378955,0.7669372523371677,0.8455991516436904,0.8043495803744352,0.5774631631593121,0.6242629904559915,0.5999517943876055
k20_seed142,20,142,3,test,579,37648,1000,735,660,1,16,16,2e-05,0.42351482540943086,0.5403703588820993,0.4748591677266945,0.8818270270857907,0.5033586475845726,0.5578440191486502,0.5292026110454481,0.7649693056929077,0.8477723668021134,0.8042451557848584,0.5727240497826208,0.6220933238210449,0.5963887295795295
k20_seed242,20,242,4,mini_val,582,500,1000,765,690,1,16,16,2e-05,0.4074074074074074,0.5225653206650831,0.45785639958376684,0.8801907737850506,0.509393063583815,0.5581947743467933,0.5326785039667548,0.759393063583815,0.8321456848772764,0.7941065357007934,0.5823699421965318,0.6270783847980997,0.6038978178009996
k20_seed242,20,242,4,validation,582,18208,1000,765,690,1,16,16,2e-05,0.41670467021366436,0.5232449628844115,0.4639368153824455,0.8815230738317965,0.5089322726465189,0.5468080593849417,0.5271907493175474,0.7751436072563611,0.832831389183457,0.8029526935149117,0.5807457707416254,0.6142523860021208,0.5970293315108093
k20_seed242,20,242,4,test,582,37648,1000,765,690,1,16,16,2e-05,0.41285601655661774,0.5197741865442477,0.46018646930396695,0.8798593256545869,0.5018928684384554,0.5414456610523486,0.5209195448034378,0.7737375286326301,0.8347136490999514,0.8030697915008752,0.5713108233738103,0.6078145517334078,0.5889976406924854
k20_seed42,20,42,5,mini_val,588,500,1000,840,765,1,16,16,2e-05,0.4091463414634146,0.5312747426761678,0.4622803995866345,0.8815886851410246,0.4982456140350877,0.56215360253365,0.5282738095238095,0.743859649122807,0.8392715756136183,0.7886904761904762,0.5747368421052632,0.6326207442596992,0.6022912398318985
k20_seed42,20,42,5,validation,588,18208,1000,840,765,1,16,16,2e-05,0.41819523154823784,0.5289925768822905,0.46711364147127127,0.8806412002411199,0.4969676032550284,0.5491834570519618,0.5217724222701353,0.762302318440043,0.8423966065747615,0.8003506155923187,0.5697259327498848,0.6171155885471898,0.5924746446607294
