model,entity_type,gold_spans,predicted_spans,true_positive_spans,precision,recall,f1
bert_student_ensemble_hard_argmax_eval128,PER,1615,1074,998,0.9292364990689013,0.6179566563467492,0.7422833767199701
bert_student_ensemble_hard_argmax_eval128,ORG,1661,777,526,0.676962676962677,0.316676700782661,0.431501230516817
bert_student_ensemble_hard_argmax_eval128,LOC,1666,1661,1045,0.6291390728476821,0.6272509003601441,0.6281935677787795
bert_student_ensemble_hard_argmax_eval128,MISC,702,320,140,0.4375,0.19943019943019943,0.273972602739726
bert_student_ensemble_hard_argmax_eval128,ALL,5644,3832,2709,0.7069415448851775,0.47997873848334516,0.5717602363866611
bart_single_pattern_01,PER,1617,789,662,0.8390367553865653,0.40940012368583795,0.5502909393183708
bart_single_pattern_01,ORG,1661,933,587,0.6291532690246516,0.3534015653220951,0.4525828835774865
bart_single_pattern_01,LOC,1668,1072,764,0.7126865671641791,0.4580335731414868,0.5576642335766423
bart_single_pattern_01,MISC,702,650,146,0.2246153846153846,0.20797720797720798,0.21597633136094674
bart_single_pattern_01,ALL,5648,3444,2159,0.6268873403019745,0.3822592067988669,0.4749230092388913
bart_ensemble_hard_argmax,PER,1617,666,573,0.8603603603603603,0.35435992578849723,0.5019710906701709
bart_ensemble_hard_argmax,ORG,1661,859,527,0.6135040745052387,0.3172787477423239,0.41825396825396827
bart_ensemble_hard_argmax,LOC,1668,1102,774,0.7023593466424682,0.46402877697841727,0.5588447653429603
bart_ensemble_hard_argmax,MISC,702,379,117,0.3087071240105541,0.16666666666666666,0.2164662349676226
bart_ensemble_hard_argmax,ALL,5648,3006,1991,0.6623419827012641,0.352514164305949,0.4601340420614745
