model,label,gold_tokens,predicted_tokens,correct_tokens,precision,recall,f1
bert_student_ensemble_hard_argmax_eval128,O,38312,41173,38134,0.9261894931144197,0.9953539361035707,0.9595269547713406
bert_student_ensemble_hard_argmax_eval128,B-PER,1615,1074,1024,0.9534450651769087,0.6340557275541796,0.7616214206024545
bert_student_ensemble_hard_argmax_eval128,I-PER,1154,930,883,0.9494623655913978,0.7651646447140381,0.8474088291746641
bert_student_ensemble_hard_argmax_eval128,B-ORG,1661,777,563,0.7245817245817245,0.3389524382901866,0.4618539786710418
bert_student_ensemble_hard_argmax_eval128,I-ORG,835,296,254,0.8581081081081081,0.30419161676646705,0.4491600353669319
bert_student_ensemble_hard_argmax_eval128,B-LOC,1666,1661,1087,0.654425045153522,0.6524609843937575,0.6534415389239555
bert_student_ensemble_hard_argmax_eval128,I-LOC,256,159,104,0.6540880503144654,0.40625,0.5012048192771085
bert_student_ensemble_hard_argmax_eval128,B-MISC,702,320,149,0.465625,0.21225071225071226,0.2915851272015656
bert_student_ensemble_hard_argmax_eval128,I-MISC,216,27,2,0.07407407407407407,0.009259259259259259,0.01646090534979424
bart_single_pattern_01,O,38323,41719,37762,0.9051511301804933,0.9853612712992198,0.9435546338172459
bart_single_pattern_01,B-PER,1617,789,664,0.8415716096324461,0.4106369820655535,0.5519534497090607
bart_single_pattern_01,I-PER,1156,564,500,0.8865248226950354,0.43252595155709345,0.5813953488372092
bart_single_pattern_01,B-ORG,1661,933,617,0.6613076098606645,0.37146297411198076,0.4757131842713955
bart_single_pattern_01,I-ORG,835,342,211,0.6169590643274854,0.25269461077844313,0.3585386576040782
bart_single_pattern_01,B-LOC,1668,1072,773,0.7210820895522388,0.4634292565947242,0.5642335766423356
bart_single_pattern_01,I-LOC,257,155,102,0.6580645161290323,0.3968871595330739,0.4951456310679611
bart_single_pattern_01,B-MISC,702,650,163,0.25076923076923074,0.23219373219373218,0.24112426035502957
bart_single_pattern_01,I-MISC,216,211,33,0.15639810426540285,0.1527777777777778,0.15456674473067916
bart_ensemble_hard_argmax,O,38323,42364,37905,0.8947455386649041,0.9890927119484383,0.9395565580576797
bart_ensemble_hard_argmax,B-PER,1617,666,576,0.8648648648648649,0.3562152133580705,0.5045992115637319
bart_ensemble_hard_argmax,I-PER,1156,494,456,0.9230769230769231,0.3944636678200692,0.5527272727272727
bart_ensemble_hard_argmax,B-ORG,1661,859,567,0.660069848661234,0.34136062612883805,0.45
bart_ensemble_hard_argmax,I-ORG,835,310,180,0.5806451612903226,0.2155688622754491,0.31441048034934493
bart_ensemble_hard_argmax,B-LOC,1668,1102,782,0.7096188747731398,0.46882494004796166,0.5646209386281589
bart_ensemble_hard_argmax,I-LOC,257,160,108,0.675,0.42023346303501946,0.5179856115107914
bart_ensemble_hard_argmax,B-MISC,702,379,125,0.32981530343007914,0.17806267806267806,0.23126734505087881
bart_ensemble_hard_argmax,I-MISC,216,101,15,0.1485148514851485,0.06944444444444445,0.0946372239747634
